Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;3817;134;;;
3500204;Interior;Adolfo;622;19;;;
3500303;Interior;Aguaí;3603;111;;;
3500402;Interior;Águas da Prata;653;27;;;
3500501;Interior;Águas de Lindóia;2055;51;;;
3500550;Interior;Águas de Santa Bárbara;606;18;;;
3500600;Interior;Águas de São Pedro;461;12;;;
3500709;Interior;Agudos;4763;110;;;
3500758;Interior;Alambari;680;12;;;
3500808;Interior;Alfredo Marcondes;269;14;;;
3500907;Interior;Altair;316;17;;;
3501004;Interior;Altinópolis;1033;54;;;
3501103;Interior;Alto Alegre;401;21;;;
3501152;Interior;Alumínio;1636;53;;;
3501202;Interior;Álvares Florence;624;15;;;
3501301;Interior;Álvares Machado;2445;73;;;
3501400;Interior;Álvaro de Carvalho;286;9;;;
3501509;Interior;Alvinlândia;144;9;;;
3501608;Interior;Americana;27029;842;;;
3501707;Interior;Américo Brasiliense;4319;97;;;
3501806;Interior;Américo de Campos;1170;35;;;
3501905;Interior;Amparo;7705;138;;;
3502002;Interior;Analândia;380;5;;;
3502101;Interior;Andradina;6865;279;;;
3502200;Interior;Angatuba;3185;77;;;
3502309;Interior;Anhembi;334;10;;;
3502408;Interior;Anhumas;384;7;;;
3502507;Interior;Aparecida;2885;116;;;
3502606;Interior;Aparecida d'Oeste;845;19;;;
3502705;Interior;Apiaí;1776;85;;;
3502754;Interior;Araçariguama;2159;71;;;
3502804;Interior;Araçatuba;30475;927;;;
3502903;Interior;Araçoiaba da Serra;3092;86;;;
3503000;Interior;Aramina;367;18;;;
3503109;Interior;Arandu;657;21;;;
3503158;Interior;Arapeí;270;4;;;
3503208;Interior;Araraquara;24721;527;;;
3503307;Interior;Araras;18412;401;;;
3503356;Interior;Arco-Íris;165;8;;;
3503406;Interior;Arealva;1009;20;;;
3503505;Interior;Areias;367;2;;;
3503604;Interior;Areiópolis;1409;21;;;
3503703;Interior;Ariranha;1013;29;;;
3503802;Interior;Artur Nogueira;5552;145;;;
3503901;RMSP (exceto capital);Arujá;8505;336;;;
3503950;Interior;Aspásia;212;8;;;
3504008;Interior;Assis;12239;411;;;
3504107;Interior;Atibaia;12693;282;;;
3504206;Interior;Auriflama;2084;74;;;
3504305;Interior;Avaí;491;12;;;
3504404;Interior;Avanhandava;1228;43;;;
3504503;Interior;Avaré;11757;278;;;
3504602;Interior;Bady Bassitt;4161;84;;;
3504701;Interior;Balbinos;371;4;;;
3504800;Interior;Bálsamo;1812;67;;;
3504909;Interior;Bananal;1134;4;;;
3505005;Interior;Barão de Antonina;518;10;;;
3505104;Interior;Barbosa;771;20;;;
3505203;Interior;Bariri;3197;132;;;
3505302;Interior;Barra Bonita;4852;118;;;
3505351;Interior;Barra do Chapéu;448;6;;;
3505401;Interior;Barra do Turvo;733;20;;;
3505500;Interior;Barretos;17748;587;;;
3505609;Interior;Barrinha;1711;72;;;
3505708;RMSP (exceto capital);Barueri;34953;1172;;;
3505807;Interior;Bastos;2072;47;;;
3505906;Interior;Batatais;6396;173;;;
3506003;Interior;Bauru;53248;1235;;;
3506102;Interior;Bebedouro;4547;246;;;
3506201;Interior;Bento de Abreu;363;5;;;
3506300;Interior;Bernardino de Campos;912;32;;;
3506359;Interior;Bertioga;6166;165;;;
3506409;Interior;Bilac;958;23;;;
3506508;Interior;Birigui;18122;602;;;
3506607;RMSP (exceto capital);Biritiba Mirim;1550;102;;;
3506706;Interior;Boa Esperança do Sul;1745;21;;;
3506805;Interior;Bocaina;1361;35;;;
3506904;Interior;Bofete;971;22;;;
3507001;Interior;Boituva;6655;190;;;
3507100;Interior;Bom Jesus dos Perdões;2478;29;;;
3507159;Interior;Bom Sucesso de Itararé;259;6;;;
3507209;Interior;Borá;126;1;;;
3507308;Interior;Boracéia;998;24;;;
3507407;Interior;Borborema;1712;53;;;
3507456;Interior;Borebi;281;4;;;
3507506;Interior;Botucatu;18870;328;;;
3507605;Interior;Bragança Paulista;22700;586;;;
3507704;Interior;Braúna;623;24;;;
3507753;Interior;Brejo Alegre;402;13;;;
3507803;Interior;Brodowski;2869;78;;;
3507902;Interior;Brotas;2197;69;;;
3508009;Interior;Buri;2648;93;;;
3508108;Interior;Buritama;2699;75;;;
3508207;Interior;Buritizal;352;10;;;
3508306;Interior;Cabrália Paulista;458;9;;;
3508405;Interior;Cabreúva;4943;137;;;
3508504;Interior;Caçapava;8958;281;;;
3508603;Interior;Cachoeira Paulista;2743;44;;;
